Function,Variant,Run,Best
F12,IFPOA-X (base/FPA),5,1.162029e+08
F12,IFPOA-X (base/FPA),6,2.214838e+08
F12,IFPOA-X (base/FPA),7,7.566833e+07
F12,IFPOA-X (base/FPA),8,4.243133e+07
F12,IFPOA-X (base/FPA),9,2.744581e+08
F12,IFPOA-X (base/FPA),10,2.177486e+08
F12,IFPOA-X (base/FPA),11,5.189323e+07
F12,IFPOA-X (base/FPA),12,2.767230e+08
F12,IFPOA-X (base/FPA),13,2.894766e+08
F12,IFPOA-X (base/FPA),14,8.155882e+07
F12,IFPOA-X (base/FPA),15,1.718006e+08
F12,IFPOA-X (base/FPA),16,1.125061e+08
F12,IFPOA-X (base/FPA),17,4.148333e+08
F12,IFPOA-X (base/FPA),18,2.681428e+08
F12,IFPOA-X (base/FPA),19,1.303881e+08
F12,IFPOA-X (base/FPA),20,3.375755e+08
F13,IFPOA-X (no OBL),1,4.570947e+08
F13,IFPOA-X (no OBL),2,3.773957e+08
F13,IFPOA-X (no OBL),3,6.401731e+08
F13,IFPOA-X (no OBL),4,4.596461e+08
F13,IFPOA-X (no OBL),5,2.379220e+08
F13,IFPOA-X (no OBL),6,2.002021e+08
F13,IFPOA-X (no OBL),7,2.104914e+08
F13,IFPOA-X (no OBL),8,3.786529e+08
F13,IFPOA-X (no OBL),9,4.735682e+08
F13,IFPOA-X (no OBL),10,7.537565e+08
F13,IFPOA-X (no OBL),11,4.663641e+08
F13,IFPOA-X (no OBL),12,7.776514e+08
F13,IFPOA-X (no OBL),13,3.196730e+08
F13,IFPOA-X (no OBL),14,6.878986e+08
F13,IFPOA-X (no OBL),15,5.223135e+08
F13,IFPOA-X (no OBL),16,4.598500e+08
F13,IFPOA-X (no OBL),17,6.433946e+08
F13,IFPOA-X (no OBL),18,8.779985e+08
F13,IFPOA-X (no OBL),19,3.675824e+08
F13,IFPOA-X (no OBL),20,7.786018e+08
F13,IFPOA-X (base/FPA),1,5.408172e+08
F13,IFPOA-X (base/FPA),2,3.139059e+08
F13,IFPOA-X (base/FPA),3,7.350439e+08
F13,IFPOA-X (base/FPA),4,4.395926e+08
F13,IFPOA-X (base/FPA),5,7.788512e+08
F13,IFPOA-X (base/FPA),6,7.155853e+08
F13,IFPOA-X (base/FPA),7,2.902528e+08
F13,IFPOA-X (base/FPA),8,3.942278e+08
F13,IFPOA-X (base/FPA),9,7.198808e+08
F13,IFPOA-X (base/FPA),10,4.072378e+08
F13,IFPOA-X (base/FPA),11,3.280050e+08
F13,IFPOA-X (base/FPA),12,2.479518e+08
F13,IFPOA-X (base/FPA),13,3.313127e+08
F13,IFPOA-X (base/FPA),14,5.036222e+08
F13,IFPOA-X (base/FPA),15,5.489093e+08
F13,IFPOA-X (base/FPA),16,6.744878e+08
F13,IFPOA-X (base/FPA),17,9.253762e+08
F13,IFPOA-X (base/FPA),18,5.063442e+08
F13,IFPOA-X (base/FPA),19,5.653622e+08
F13,IFPOA-X (base/FPA),20,4.961469e+08
