Function,Variant,Run,Best
F3,IFPOA-X (base/FPA),15,6.822417e+04
F3,IFPOA-X (base/FPA),16,7.566019e+04
F3,IFPOA-X (base/FPA),17,4.518981e+04
F3,IFPOA-X (base/FPA),18,5.297501e+04
F3,IFPOA-X (base/FPA),19,4.605907e+04
F3,IFPOA-X (base/FPA),20,5.971525e+04
F4,IFPOA-X (no OBL),1,6.142368e+01
F4,IFPOA-X (no OBL),2,6.742662e+01
F4,IFPOA-X (no OBL),3,5.194413e+01
F4,IFPOA-X (no OBL),4,6.152692e+01
F4,IFPOA-X (no OBL),5,6.239988e+01
F4,IFPOA-X (no OBL),6,5.086355e+01
F4,IFPOA-X (no OBL),7,6.642210e+01
F4,IFPOA-X (no OBL),8,6.281456e+01
F4,IFPOA-X (no OBL),9,6.721228e+01
F4,IFPOA-X (no OBL),10,6.720237e+01
F4,IFPOA-X (no OBL),11,6.619801e+01
F4,IFPOA-X (no OBL),12,7.313358e+01
F4,IFPOA-X (no OBL),13,6.065301e+01
F4,IFPOA-X (no OBL),14,5.593183e+01
F4,IFPOA-X (no OBL),15,6.384482e+01
F4,IFPOA-X (no OBL),16,6.408665e+01
F4,IFPOA-X (no OBL),17,5.473267e+01
F4,IFPOA-X (no OBL),18,6.892215e+01
F4,IFPOA-X (no OBL),19,7.142417e+01
F4,IFPOA-X (no OBL),20,6.701196e+01
F4,IFPOA-X (no JADE),1,2.177989e-02
F4,IFPOA-X (no JADE),2,4.600664e-04
F4,IFPOA-X (no JADE),3,1.543862e-03
F4,IFPOA-X (no JADE),4,1.479860e-04
F4,IFPOA-X (no JADE),5,1.720839e-05
F4,IFPOA-X (no JADE),6,4.255242e-06
F4,IFPOA-X (no JADE),7,4.983699e-04
F4,IFPOA-X (no JADE),8,1.697022e-03
F4,IFPOA-X (no JADE),9,3.523837e-04
F4,IFPOA-X (no JADE),10,2.109585e-03
F4,IFPOA-X (no JADE),11,3.354411e-02
F4,IFPOA-X (no JADE),12,6.772695e-06
F4,IFPOA-X (no JADE),13,3.506150e-02
F4,IFPOA-X (no JADE),14,1.253519e-02
F4,IFPOA-X (no JADE),15,1.812391e-03
F4,IFPOA-X (no JADE),16,3.742744e-04
F4,IFPOA-X (no JADE),17,8.843227e-03
F4,IFPOA-X (no JADE),18,4.170527e-03
F4,IFPOA-X (no JADE),19,5.593940e-04
F4,IFPOA-X (no JADE),20,2.976627e-02
F4,IFPOA-X (no Bandit),1,1.512638e+00
F4,IFPOA-X (no Bandit),2,2.582821e+00
F4,IFPOA-X (no Bandit),3,2.252728e+00
F4,IFPOA-X (no Bandit),4,1.009913e+00
F4,IFPOA-X (no Bandit),5,2.854372e-02
F4,IFPOA-X (no Bandit),6,4.905399e+00
F4,IFPOA-X (no Bandit),7,7.128594e+00
F4,IFPOA-X (no Bandit),8,4.692713e+00
F4,IFPOA-X (no Bandit),9,8.213756e+00
F4,IFPOA-X (no Bandit),10,1.163766e+01
F4,IFPOA-X (no Bandit),11,1.238039e+01
F4,IFPOA-X (no Bandit),12,1.650836e+00
F4,IFPOA-X (no Bandit),13,5.352465e+00
F4,IFPOA-X (no Bandit),14,6.320870e+00
F4,IFPOA-X (no Bandit),15,2.379968e+00
F4,IFPOA-X (no Bandit),16,4.766176e-01
F4,IFPOA-X (no Bandit),17,1.053285e+00
F4,IFPOA-X (no Bandit),18,3.581091e+00
F4,IFPOA-X (no Bandit),19,1.742665e+00
F4,IFPOA-X (no Bandit),20,1.077995e+01
